X,Y,Date,County
-97.460749,32.76369,7/8/14,TARRANT
-97.460749,32.76369,7/8/14,TARRANT
-97.460329,32.7705,9/16/14,TARRANT
-97.460329,32.7705,9/16/14,TARRANT
-97.460329,32.7705,9/16/14,TARRANT
-97.460259,32.733088,7/2/14,TARRANT
-97.460224,32.732986,10/5/14,TARRANT
-97.460224,32.732986,10/5/14,TARRANT
-97.459329,32.730231,4/18/14,TARRANT
-97.45907,32.735806,8/22/14,TARRANT
-97.45907,32.735806,8/22/14,TARRANT
-97.45907,32.735806,8/22/14,TARRANT
-97.45907,32.735806,8/22/14,TARRANT
-97.459069,32.75226,3/27/14,TARRANT
-97.459065,32.899693,4/7/14,TARRANT
-97.459065,32.899693,4/7/14,TARRANT
-97.459065,32.899693,4/7/14,TARRANT
-97.459065,32.899693,4/7/14,TARRANT
-97.459065,32.899693,4/7/14,TARRANT
-97.459039,32.75382,12/26/14,TARRANT
-97.458843,32.771047,9/26/14,TARRANT
-97.458813,32.734923,4/16/14,TARRANT
-97.458813,32.734923,4/16/14,TARRANT
-97.458813,32.734923,4/16/14,TARRANT
-97.458813,32.734923,7/23/14,TARRANT
-97.458813,32.734923,7/23/14,TARRANT
-97.458452,32.771206,1/15/14,TARRANT
-97.458452,32.771206,1/15/14,TARRANT
-97.458452,32.771206,1/15/14,TARRANT
-97.458452,32.771206,1/15/14,TARRANT
-97.45819,32.771283,8/15/14,TARRANT
-97.458189,32.721832,5/13/14,TARRANT
-97.457924,32.748601,5/2/14,TARRANT
-97.456681,32.73683,2/12/14,TARRANT
-97.455784,32.764961,2/14/14,TARRANT
-97.455784,32.764961,2/14/14,TARRANT
-97.455519,32.725706,3/21/14,TARRANT
-97.455519,32.725706,3/21/14,TARRANT
-97.45551,32.725759,5/18/14,TARRANT
-97.455182,32.741698,1/9/14,TARRANT
-97.455002,32.733584,5/12/14,TARRANT
-97.454895,32.733629,4/11/14,TARRANT
-97.454895,32.733629,4/11/14,TARRANT
-97.454553,32.733546,3/14/14,TARRANT
-97.454553,32.733546,3/14/14,TARRANT
-97.454194,32.912301,11/9/14,TARRANT
-97.453963,32.724635,10/17/14,TARRANT
-97.453839,32.71128,3/7/14,TARRANT
-97.45374,32.732996,7/24/14,TARRANT
-97.453734,32.732936,2/13/14,TARRANT
-97.453734,32.732936,2/13/14,TARRANT
-97.453734,32.732936,2/13/14,TARRANT
-97.453734,32.732936,2/13/14,TARRANT
-97.453659,32.716039,1/16/14,TARRANT
-97.453459,32.724597,12/8/14,TARRANT
-97.452829,32.753031,1/10/14,TARRANT
-97.452132,32.763923,10/10/14,TARRANT
-97.451702,32.886092,10/2/14,TARRANT
-97.451702,32.886092,10/2/14,TARRANT
-97.451312,32.746313,4/9/14,TARRANT
-97.451185,32.715361,7/9/14,TARRANT
-97.450327,32.745414,12/5/14,TARRANT
-97.450281,32.753448,5/22/14,TARRANT
-97.450063,32.884053,5/9/14,TARRANT
-97.450063,32.884053,5/9/14,TARRANT
-97.450063,32.884053,5/9/14,TARRANT
-97.450063,32.884053,5/9/14,TARRANT
-97.449871,32.799217,3/29/14,TARRANT
-97.449579,32.73296,6/6/14,TARRANT
-97.449579,32.73296,6/6/14,TARRANT
-97.448444,32.890075,5/7/14,TARRANT
-97.448019,32.812945,2/4/14,TARRANT
-97.447912,32.751723,10/10/14,TARRANT
